source_id,distance_to_subway,lat,lng,id
314550684,1.788233,56.302752,43.972946,314550684
314552785,4.629994,56.237222,43.966829,314552785
314561712,2.274914,56.309848,44.029989,314561712
314563997,2.743894,56.290574,44.008762,314563997
314575121,1.047168,56.268092,43.896742,314575121
314583510,0.475354,56.238432,43.862049,314583510
314585008,5.97567,56.261848,44.018159,314585008
314587867,3.684791,56.275839,43.984957,314587867
314587868,4.02047,56.296444,44.050884,314587868
314587870,1.094371,56.257188,43.919371,314587870
314595603,5.700045,56.270506,44.04306,314595603
314601799,1.973209,56.348183,43.927761,314601799
314602322,6.019894,56.368923,43.821661,314602322
314602323,2.424042,56.317088,43.868607,314602323
314626067,4.975555,56.309983,44.074025,314626067
314626068,4.975555,56.309983,44.074025,314626068
314626075,0.188345,56.243655,43.856992,314626075
314626123,1.323856,56.340136,43.93007,314626123
314626136,2.409106,56.292728,43.985056,314626136
314632455,0.735482,56.326742,43.952905,314632455
314640442,1.686099,56.227089,43.853956,314640442
314640614,3.033674,56.309978,44.042458,314640614
314642309,5.49392,56.265902,44.015257,314642309
314647607,1.788233,56.302752,43.972946,314647607
314656227,2.920734,56.327945,43.848602,314656227
314657743,4.276952,56.286298,44.042162,314657743
314665374,1.119114,56.313503,43.975848,314665374
314672918,3.901233,56.231818,43.944667,314672918
314680326,1.54808,56.259763,43.864529,314680326
314689045,0.62104,56.30429,43.934795,314689045
314693725,1.246231,56.288336,43.947138,314693725
314696121,2.035225,56.231388,43.831372,314696121
314717814,4.329167,56.340565,43.82609,314717814
314718141,1.272218,56.320188,44.010963,314718141
314722168,1.24555,56.310977,43.974447,314722168
314722202,0.455862,56.277303,43.928588,314722202
314723839,0.88792,56.27218,43.933501,314723839
314724074,5.118701,56.290939,43.84296,314724074
314724542,1.360423,56.229882,43.856291,314724542
314724793,4.576769,56.299241,44.063074,314724793
314728443,4.04138,56.262242,43.981417,314728443
314729618,3.556108,56.35122,43.84729,314729618
314730151,4.344934,56.287567,44.04589,314730151
314730728,0.473272,56.28234,43.933627,314730728
314733546,0.511633,56.275149,43.929315,314733546
314735044,4.242284,56.259618,43.982819,314735044
314739397,0.655628,56.27289,43.912957,314739397
314742099,1.60682,56.254282,43.844227,314742099
314745788,1.546836,56.233174,43.877186,314745788
314746824,3.805459,56.293552,44.043455,314746824
314746827,5.523212,56.275729,44.051118,314746827
314752009,4.468827,56.207874,43.820278,314752009
314762125,0.726657,56.263602,43.898737,314762125
314766925,5.80122,56.27342,44.053139,314766925
314767505,1.250754,56.275124,43.941442,314767505
314768714,1.295961,56.343623,43.93502,314768714
314768897,0.746555,56.274145,43.932711,314768897
314769292,5.422283,56.202301,43.807549,314769292
314769524,5.569532,56.284469,44.066802,314769524
314776020,1.047206,56.258208,43.921572,314776020
314776274,1.790665,56.255878,43.84323,314776274
314777866,0.437387,56.334567,43.956552,314777866
314778059,3.11453,56.285853,43.991613,314778059
314789857,1.338742,56.338015,43.914718,314789857
314801145,2.202099,56.294196,43.989161,314801145
314803787,1.533372,56.300155,43.997336,314803787
